output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
1	Root (100%); Bacteria (100%); Proteobacteria (100%); Alphaproteobacteria (100%); Azospirillales (99.2%); Azospirillaceae (99.2%); Azospirillum (99.2%)	ASV1	0	0	0	0	0	70	17	32	15	0	191	0	0	14112	16875	4527	48812	57558	38690	16422	15942	87405	151	3550	1832	15	23	0	0	0	117	21209	37537
2	Root (100%); Bacteria (100%); Bacteroidota (100%); Bacteroidia (100%); Cytophagales (100%); Spirosomaceae (100%); Arcicella (98.9%)	ASV10	0	0	0	1847	441	0	0	0	0	0	0	0	0	9	25847	2221	137	361	6815	96	0	18	347	9329	13418	2897	6701	15014	1718	1936	50963	13	46
3	Root (88%); Bacteria (88%); Bacteroidota (88%); Bacteroidia (88%); Flavobacteriales (88%); Flavobacteriaceae (87.4%); Flavobacterium (81.7%)	ASV100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1129	1550	2413	0	0	0	0	0	0	674	3142	13439	0	0	0	0	0
4	Root (94.8%); Bacteria (94.8%); Bacteroidota (94.8%); Bacteroidia (94.8%); Cytophagales (94.8%); Spirosomaceae (94.8%); Dyadobacter (93.9%)	ASV1000	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	210	161	99	0
5	Root (92.7%); Bacteria (92.7%); Bacteroidota (92.7%); Bacteroidia (92.7%); Flavobacteriales (92%); Weeksellaceae (89.3%); unclassified_Weeksellaceae (89.3%)	ASV1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	93
6	Root (96.6%); Bacteria (96.6%); Verrucomicrobiota (96.6%); Verrucomicrobiae (96.6%); Verrucomicrobiales (96.6%); Verrucomicrobiaceae (96.6%); Verrucomicrobium (96.6%)	ASV1002	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	136	0	0	0	0	0	0	0	0
7	Root (50.6%); unclassified_Root (50.6%)	ASV1003	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	Root (58.9%); unclassified_Root (58.9%)	ASV1004	0	0	51	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	218	243	0	0
9	Root (41.7%); unclassified_Root (41.7%)	ASV1005	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0
10	Root (54.7%); unclassified_Root (54.7%)	ASV1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	13	342	0	0
