output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
1	Root (100%); Eukaryota (100%); Archaeplastida (100%); Chloroplastida (100%); Chlorophyta (95.8%); Trebouxiophyceae (94.1%)	ASV1	32859	40530	53618	324	0	0	27602	42147	65873	1393	0	0	0	0	0	0	182	0	0	149960	5504	0	477	79	7319	61770	0	19	363	0	0	0	0
2	Root (94.2%); Eukaryota (94.2%); Amorphea (92.8%); Obazoa (92.8%); Opisthokonta (92.8%); Nucletmycea (91.3%); Fungi (91.3%); Chytridiomycota (88%); Incertae Sedis_2 (88%); Chytridiomycetes (88%); unclassified_Chytridiomycetes (88%)	ASV10	25	10	0	0	0	0	126	47	0	0	0	0	0	0	0	0	0	0	0	56527	1789	0	284	741	313	53212	1027	0	29	0	0	0	0
3	Root (80.7%); Eukaryota (80.7%); Amorphea (79.9%); Obazoa (79.9%); Opisthokonta (79.9%); Nucletmycea (78.5%); Fungi (78.5%); Chytridiomycota (68.8%); Incertae Sedis_2 (68.8%); Chytridiomycetes (68.8%); unclassified_Chytridiomycetes (68.8%)	ASV100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4550	0	0	0	1314	68	1938	0	0	0	0	0	0	142
4	Root (51.2%); unclassified_Root (51.2%)	ASV1000	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	32	0	0	0	0	0	3	0	0	0	0	0	0
5	Root (71.2%); Eukaryota (71.2%); Amorphea (71.2%); Obazoa (71.2%); Opisthokonta (71.2%); Nucletmycea (71.2%); Fungi (71.2%); Dikarya (71.2%); Ascomycota (70.6%); Pezizomycotina (69.3%); unclassified_Pezizomycotina (69.3%)	ASV1001	0	0	0	0	0	0	0	0	0	0	0	0	5	0	27	0	0	17	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
6	Root (89.9%); Eukaryota (89.9%); Archaeplastida (89.9%); Chloroplastida (89.9%); Charophyta (89.9%); Phragmoplastophyta (89.9%); Streptophyta (83.9%); Embryophyta (83.1%); Bryophyta (72.2%); unclassified_Bryophyta (72.2%)	ASV1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Root (85.6%); Eukaryota (85.6%); Amorphea (85.6%); Obazoa (85.6%); Opisthokonta (85.6%); Nucletmycea (85.6%); Fungi (85.6%); Dikarya (84.8%); Ascomycota (84.8%); Pezizomycotina (80.2%); Dothideomycetes (72.2%); Pleosporales (70.5%); unclassified_Pleosporales (70.5%)	ASV1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0
8	Root (29.1%); unclassified_Root (29.1%)	ASV1005	9	0	35	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Root (87.2%); Eukaryota (87.2%); Archaeplastida (87.2%); Chloroplastida (87.2%); Charophyta (86.6%); Phragmoplastophyta (86.6%); Streptophyta (82.5%); Embryophyta (82.5%); Bryophyta (81.6%); unclassified_Bryophyta (81.6%)	ASV1006	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Root (87.4%); Eukaryota (87.4%); Amorphea (87.4%); Obazoa (87.4%); Opisthokonta (87.4%); Nucletmycea (87.4%); Fungi (87.4%); Dikarya (87.4%); Ascomycota (87.4%); Pezizomycotina (87.4%); Dothideomycetes (85.9%); Venturiales (82.8%); Sympoventuriaceae (82.8%); Ochroconis (79.7%)	ASV1007	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
