sample	Observed	Shannon	FaithPD	field_code	lat	long	site	plant	level	taxa	Evenness
DFP.001	12	1.57623595758738	-2.77890229981086	TIV.1.0	44.61606	11.10986	TIV	1	0	Metazoa	0.634324012824329
DFP.002	5	0.371918928574691	-0.972944360845854	TIV.1.1	44.61606	11.10986	TIV	1	1	Metazoa	0.231086223147437
DFP.003	16	1.91600139416625	-0.654774860465342	TIV.1.2	44.61606	11.10986	TIV	1	2	Metazoa	0.691051427424997
DFP.004	12	0.493636749219291	0.393474390889516	TIV.2.0	44.61606	11.10986	TIV	2	0	Metazoa	0.198654041696659
DFP.005	17	1.49102087070402	-0.180198755474094	TIV.2.1	44.61606	11.10986	TIV	2	1	Metazoa	0.526264947125152
DFP.006	9	0.821465903088331	0.948458103262284	TIV.2.2	44.61606	11.10986	TIV	2	2	Metazoa	0.373865244163719
DFP.007	12	0.995724188595332	0.549963461457512	TIV.3.0	44.61606	11.10986	TIV	3	0	Metazoa	0.400708891289853
DFP.008	11	0.981211261947712	-1.85039762265216	TIV.3.1	44.61606	11.10986	TIV	3	1	Metazoa	0.409196879062457
DFP.009	7	0.774004816947487	-0.298480030706655	TIV.3.2	44.61606	11.10986	TIV	3	2	Metazoa	0.397759792415516
DFP.010	6	0.921045016297837	-0.668789097150762	SGP.1.0	44.635238	11.193586	SGP	4	0	Metazoa	0.514045011127889
DFP.011	3	0.708690697611185	1.54869049006792	SGP.1.1	44.635238	11.193586	SGP	4	1	Metazoa	0.645078072511239
DFP.012	4	0.00938684359765729	0.630553208312066	SGP.1.2	44.635238	11.193586	SGP	4	2	Metazoa	0.00677117635397024
DFP.013	7	1.76129326845306	-0.0931407912131449	SGP.2.0	44.635238	11.193586	SGP	5	0	Metazoa	0.905125691085026
DFP.014	8	1.42307033774409	-0.752768309639957	SGP.2.1	44.635238	11.193586	SGP	5	1	Metazoa	0.684352173033194
DFP.015	10	1.16944465650659	-0.0213359512030015	SGP.2.2	44.635238	11.193586	SGP	5	2	Metazoa	0.507883361212058
DFP.016	11	1.85820105147813	-0.890352894317209	SGP.3.0	44.635238	11.193586	SGP	6	0	Metazoa	0.774930028244973
DFP.017	11	1.43374862192716	-0.77506126037678	SGP.3.1	44.635238	11.193586	SGP	6	1	Metazoa	0.597919616503503
DFP.018	10	0.983228568141336	-1.15005239133808	SGP.3.2	44.635238	11.193586	SGP	6	2	Metazoa	0.427010741593417
DFP.019	13	1.4263191440267	-2.01845046209612	SMS.1.0	44.571171	11.152831	SMS	7	0	Metazoa	0.556080820807429
DFP.020	6	0.695003018009645	-0.483060415256791	SMS.1.1	44.571171	11.152831	SMS	7	1	Metazoa	0.387888569836371
DFP.021	8	0.885753667514327	-0.808315867179144	SMS.1.2	44.571171	11.152831	SMS	7	2	Metazoa	0.425957474524044
DFP.022	10	1.23181385374214	0.64266120000476	SMS.2.0	44.571171	11.152831	SMS	8	0	Metazoa	0.534969959412193
DFP.023	12	1.97127693444187	0.453178949400868	SMS.2.1	44.571171	11.152831	SMS	8	1	Metazoa	0.793300196854497
DFP.024	9	1.37271872533563	-0.73179608358186	ALB.1.0	44.685096	10.985169	ALB	9	0	Metazoa	0.624751215462841
DFP.027	8	1.46158978415912	1.07599890018319	ALB.2.0	44.685096	10.985169	ALB	10	0	Metazoa	0.702876111140112
DFP.028	6	1.33449163029851	1.4266818210833	ALB.2.1	44.685096	10.985169	ALB	10	1	Metazoa	0.744793959913299
DFP.029	3	0.796311640173813	-0.955697017885695	ALB.2.2	44.685096	10.985169	ALB	10	2	Metazoa	0.72483409150576
DFP.030	5	1.39824286336906	0.849300281880256	ALB.3.0	44.685096	10.985169	ALB	11	0	Metazoa	0.868777138009858
DFP.031	2	0.286835983056161	0.534215818425663	ALB.3.1	44.685096	10.985169	ALB	11	1	Metazoa	0.413816850303634
DFP.032	4	1.30886309364559	0.22245446482405	ALB.3.2	44.685096	10.985169	ALB	11	2	Metazoa	0.944145147202536
DFP.001	130	2.950239758205	-0.597235366217737	TIV.1.0	44.61606	11.10986	TIV	1	0	Fungi	0.606105573208396
DFP.002	157	3.15653865851804	-0.163418703571089	TIV.1.1	44.61606	11.10986	TIV	1	1	Fungi	0.624285048638096
DFP.003	153	3.18069014693904	-1.91580294480523	TIV.1.2	44.61606	11.10986	TIV	1	2	Fungi	0.632288917315297
DFP.004	161	3.5732611358935	-2.61666416248685	TIV.2.0	44.61606	11.10986	TIV	2	0	Fungi	0.703203460940158
DFP.005	138	2.92222787898675	-2.10466398184428	TIV.2.1	44.61606	11.10986	TIV	2	1	Fungi	0.593074370777707
DFP.006	138	3.11128341547413	-1.62112509656074	TIV.2.2	44.61606	11.10986	TIV	2	2	Fungi	0.631443723883452
DFP.007	126	3.53724065855542	-2.27257869194293	TIV.3.0	44.61606	11.10986	TIV	3	0	Fungi	0.731396706521829
DFP.008	174	3.16832192059083	-3.11156920932893	TIV.3.1	44.61606	11.10986	TIV	3	1	Fungi	0.614128311645199
DFP.009	134	3.14097565978832	-2.81018446141701	TIV.3.2	44.61606	11.10986	TIV	3	2	Fungi	0.641298161654817
DFP.010	134	2.78564314045195	-3.4995474478056	SGP.1.0	44.635238	11.193586	SGP	4	0	Fungi	0.568749337305778
DFP.011	112	2.59036975162581	-3.8180561617701	SGP.1.1	44.635238	11.193586	SGP	4	1	Fungi	0.548981746585611
DFP.012	51	1.42897160430569	-1.12667672249309	SGP.1.2	44.635238	11.193586	SGP	4	2	Fungi	0.363437175955223
