sample	field_code	lat	long	site	plant	level
DFP.000	blank			blank		
DFP.001	TIV.1.0	44.61606	11.10986	TIV	1	0
DFP.002	TIV.1.1	44.61606	11.10986	TIV	1	1
DFP.003	TIV.1.2	44.61606	11.10986	TIV	1	2
DFP.004	TIV.2.0	44.61606	11.10986	TIV	2	0
DFP.005	TIV.2.1	44.61606	11.10986	TIV	2	1
DFP.006	TIV.2.2	44.61606	11.10986	TIV	2	2
DFP.007	TIV.3.0	44.61606	11.10986	TIV	3	0
DFP.008	TIV.3.1	44.61606	11.10986	TIV	3	1
DFP.009	TIV.3.2	44.61606	11.10986	TIV	3	2
DFP.010	SGP.1.0	44.635238	11.193586	SGP	4	0
DFP.011	SGP.1.1	44.635238	11.193586	SGP	4	1
DFP.012	SGP.1.2	44.635238	11.193586	SGP	4	2
DFP.013	SGP.2.0	44.635238	11.193586	SGP	5	0
DFP.014	SGP.2.1	44.635238	11.193586	SGP	5	1
DFP.015	SGP.2.2	44.635238	11.193586	SGP	5	2
DFP.016	SGP.3.0	44.635238	11.193586	SGP	6	0
DFP.017	SGP.3.1	44.635238	11.193586	SGP	6	1
DFP.018	SGP.3.2	44.635238	11.193586	SGP	6	2
DFP.019	SMS.1.0	44.571171	11.152831	SMS	7	0
DFP.020	SMS.1.1	44.571171	11.152831	SMS	7	1
DFP.021	SMS.1.2	44.571171	11.152831	SMS	7	2
DFP.022	SMS.2.0	44.571171	11.152831	SMS	8	0
DFP.023	SMS.2.1	44.571171	11.152831	SMS	8	1
DFP.024	ALB.1.0	44.685096	10.985169	ALB	9	0
DFP.025	ALB.1.1	44.685096	10.985169	ALB	9	1
DFP.026	ALB.1.2	44.685096	10.985169	ALB	9	2
DFP.027	ALB.2.0	44.685096	10.985169	ALB	10	0
DFP.028	ALB.2.1	44.685096	10.985169	ALB	10	1
DFP.029	ALB.2.2	44.685096	10.985169	ALB	10	2
DFP.030	ALB.3.0	44.685096	10.985169	ALB	11	0
DFP.031	ALB.3.1	44.685096	10.985169	ALB	11	1
DFP.032	ALB.3.2	44.685096	10.985169	ALB	11	2
